loc_id,parent_id
NC,
Alamance,NC
Alexander,NC
Alleghany,NC
Anson,NC
Ashe,NC
Avery,NC
Beaufort,NC
Bertie,NC
Bladen,NC
Brunswick,NC
Buncombe,NC
Burke,NC
Cabarrus,NC
Caldwell,NC
Camden,NC
Carteret,NC
Caswell,NC
Catawba,NC
Chatham,NC
Cherokee,NC
Chowan,NC
Clay,NC
Cleveland,NC
Columbus,NC
Craven,NC
Cumberland,NC
Currituck,NC
Dare,NC
Davidson,NC
Davie,NC
Duplin,NC
Durham,NC
Edgecombe,NC
Forsyth,NC
Franklin,NC
Gaston,NC
Gates,NC
Graham,NC
Granville,NC
Greene,NC
Guilford,NC
Halifax,NC
Harnett,NC
Haywood,NC
Henderson,NC
Hertford,NC
Hoke,NC
Hyde,NC
Iredell,NC
Jackson,NC
Johnston,NC
Jones,NC
Lee,NC
Lenoir,NC
Lincoln,NC
Macon,NC
Madison,NC
Martin,NC
McDowell,NC
Mecklenburg,NC
Mitchell,NC
Montgomery,NC
Moore,NC
Nash,NC
New Hanover,NC
Northampton,NC
Onslow,NC
Orange,NC
Pamlico,NC
Pasquotank,NC
Pender,NC
Perquimans,NC
Person,NC
Pitt,NC
Polk,NC
Randolph,NC
Richmond,NC
Robeson,NC
Rockingham,NC
Rowan,NC
Rutherford,NC
Sampson,NC
Scotland,NC
Stanly,NC
Stokes,NC
Surry,NC
Swain,NC
Transylvania,NC
Tyrrell,NC
Union,NC
Vance,NC
Wake,NC
Warren,NC
Washington,NC
Watauga,NC
Wayne,NC
Wilkes,NC
Wilson,NC
Yadkin,NC
Yancey,NC
nc_101,Alamance
nc_102,Alamance
nc_103,Alamance
nc_105,Alamance
nc_106,Alamance
nc_107,Alamance
nc_109,Alamance
nc_110,Alamance
nc_111,Alamance
nc_113,Alamance
nc_114,Alamance
nc_115,Alamance
nc_116,Alamance
nc_117,Alamance
nc_119,Alamance
nc_120,Alamance
nc_121,Alamance
nc_122,Alamance
nc_123,Alamance
nc_124,Alamance
nc_125,Alamance
nc_126,Alamance
nc_127,Alamance
nc_129,Alamance
nc_130,Alamance
nc_131,Alamance
nc_132,Alamance
nc_133,Alamance
nc_134,Alamance
nc_138,Alexander
nc_139,Alexander
nc_140,Alexander
nc_141,Alexander
nc_142,Alexander
nc_143,Alexander
nc_144,Alexander
nc_145,Alexander
nc_148,Alleghany
nc_150,Alleghany
nc_151,Anson
nc_154,Anson
nc_155,Anson
nc_156,Anson
nc_157,Anson
nc_159,Ashe
nc_160,Ashe
nc_161,Avery
nc_163,Avery
nc_164,Avery
nc_166,Avery
nc_167,Avery
nc_168,Avery
nc_169,Beaufort
nc_170,Beaufort
nc_171,Beaufort
nc_172,Beaufort
nc_174,Beaufort
nc_175,Beaufort
nc_176,Beaufort
nc_177,Beaufort
nc_178,Beaufort
nc_180,Bertie
nc_183,Bertie
nc_188,Bladen
nc_189,Bladen
nc_192,Bladen
nc_193,Bladen
nc_194,Bladen
nc_195,Bladen
nc_196,Bladen
nc_200,Brunswick
nc_201,Brunswick
nc_202,Brunswick
nc_203,Brunswick
nc_204,Brunswick
nc_205,Brunswick
nc_208,Brunswick
nc_209,Brunswick
nc_210,Brunswick
nc_211,Brunswick
nc_212,Brunswick
nc_213,Brunswick
nc_214,Brunswick
nc_215,Brunswick
nc_216,Brunswick
nc_219,Buncombe
nc_220,Buncombe
nc_222,Buncombe
nc_223,Buncombe
nc_227,Buncombe
nc_229,Buncombe
nc_230,Buncombe
nc_232,Buncombe
nc_234,Buncombe
nc_235,Buncombe
nc_236,Buncombe
nc_238,Buncombe
nc_240,Buncombe
nc_241,Buncombe
nc_242,Buncombe
nc_243,Buncombe
nc_244,Buncombe
nc_247,Buncombe
nc_248,Buncombe
nc_249,Buncombe
nc_251,Buncombe
nc_252,Buncombe
nc_253,Buncombe
nc_254,Buncombe
nc_255,Buncombe
nc_256,Buncombe
nc_257,Buncombe
nc_258,Buncombe
nc_262,Buncombe
nc_263,Buncombe
nc_264,Buncombe
nc_265,Buncombe
nc_266,Buncombe
nc_267,Buncombe
nc_268,Buncombe
nc_269,Buncombe
nc_271,Buncombe
nc_272,Buncombe
nc_273,Buncombe
nc_274,Buncombe
nc_277,Burke
nc_278,Burke
nc_279,Burke
nc_280,Burke
nc_281,Burke
nc_282,Burke
nc_283,Burke
nc_284,Burke
nc_286,Burke
nc_287,Burke
nc_289,Burke
nc_291,Burke
nc_292,Burke
nc_296,Burke
nc_300,Burke
nc_301,Burke
nc_302,Cabarrus
nc_303,Cabarrus
nc_304,Cabarrus
nc_306,Cabarrus
nc_309,Cabarrus
nc_310,Cabarrus
nc_312,Cabarrus
nc_313,Cabarrus
nc_315,Cabarrus
nc_316,Cabarrus
nc_317,Cabarrus
nc_320,Cabarrus
nc_322,Cabarrus
nc_323,Cabarrus
nc_325,Cabarrus
nc_326,Cabarrus
nc_327,Cabarrus
nc_328,Cabarrus
nc_329,Cabarrus
nc_331,Cabarrus
nc_332,Cabarrus
nc_333,Cabarrus
nc_334,Cabarrus
nc_335,Cabarrus
nc_336,Cabarrus
nc_338,Cabarrus
nc_339,Cabarrus
nc_340,Cabarrus
nc_341,Cabarrus
nc_342,Cabarrus
nc_343,Caldwell
nc_344,Caldwell
nc_345,Caldwell
nc_346,Caldwell
nc_347,Caldwell
nc_348,Caldwell
nc_349,Caldwell
nc_352,Caldwell
nc_353,Caldwell
nc_354,Caldwell
nc_357,Caldwell
nc_358,Caldwell
nc_360,Caldwell
nc_361,Camden
nc_363,Carteret
nc_364,Carteret
nc_365,Carteret
nc_369,Carteret
nc_372,Carteret
nc_373,Carteret
nc_375,Carteret
nc_379,Carteret
nc_380,Carteret
nc_381,Carteret
nc_382,Carteret
nc_383,Caswell
nc_384,Caswell
nc_385,Caswell
nc_386,Caswell
nc_387,Catawba
nc_388,Catawba
nc_389,Catawba
nc_390,Catawba
nc_392,Catawba
nc_393,Catawba
nc_394,Catawba
nc_395,Catawba
nc_396,Catawba
nc_398,Catawba
nc_399,Catawba
nc_401,Catawba
nc_402,Catawba
nc_403,Catawba
nc_404,Catawba
nc_405,Catawba
nc_406,Catawba
nc_407,Catawba
nc_408,Catawba
nc_409,Catawba
nc_410,Catawba
nc_411,Catawba
nc_412,Catawba
nc_413,Catawba
nc_415,Catawba
nc_416,Catawba
nc_417,Catawba
nc_420,Catawba
nc_421,Catawba
nc_423,Catawba
nc_424,Chatham
nc_425,Chatham
nc_426,Chatham
nc_428,Chatham
nc_429,Chatham
nc_430,Chatham
nc_432,Chatham
nc_434,Chatham
nc_435,Chatham
nc_436,Chatham
nc_437,Chatham
nc_438,Chatham
nc_439,Chatham
nc_441,Chatham
nc_442,Chatham
nc_443,Chatham
nc_444,Cherokee
nc_448,Cherokee
nc_450,Cherokee
nc_451,Cherokee
nc_452,Cherokee
nc_456,Chowan
nc_459,Clay
nc_462,Cleveland
nc_463,Cleveland
nc_467,Cleveland
nc_469,Cleveland
nc_473,Cleveland
nc_474,Cleveland
nc_475,Cleveland
nc_477,Cleveland
nc_479,Cleveland
nc_480,Cleveland
nc_481,Cleveland
nc_483,Cleveland
nc_484,Cleveland
nc_485,Cleveland
nc_486,Columbus
nc_489,Columbus
nc_490,Columbus
nc_494,Columbus
nc_495,Columbus
nc_496,Columbus
nc_498,Columbus
nc_499,Columbus
nc_500,Craven
nc_501,Craven
nc_502,Craven
nc_503,Craven
nc_504,Craven
nc_505,Craven
nc_506,Craven
nc_507,Craven
nc_508,Craven
nc_509,Craven
nc_510,Craven
nc_511,Craven
nc_512,Craven
nc_513,Craven
nc_514,Craven
nc_517,Craven
nc_519,Craven
nc_523,Craven
nc_524,Craven
nc_525,Craven
nc_527,Cumberland
nc_528,Cumberland
nc_529,Cumberland
nc_530,Cumberland
nc_532,Cumberland
nc_533,Cumberland
nc_535,Cumberland
nc_536,Cumberland
nc_538,Cumberland
nc_540,Cumberland
nc_541,Cumberland
nc_542,Cumberland
nc_543,Cumberland
nc_546,Cumberland
nc_547,Cumberland
nc_548,Cumberland
nc_549,Cumberland
nc_550,Cumberland
nc_551,Cumberland
nc_552,Cumberland
nc_553,Cumberland
nc_555,Cumberland
nc_556,Cumberland
nc_557,Cumberland
nc_558,Cumberland
nc_559,Cumberland
nc_561,Cumberland
nc_562,Cumberland
nc_563,Cumberland
nc_567,Cumberland
nc_572,Cumberland
nc_573,Cumberland
nc_574,Cumberland
nc_576,Cumberland
nc_577,Cumberland
nc_579,Cumberland
nc_580,Cumberland
nc_581,Cumberland
nc_582,Cumberland
nc_583,Cumberland
nc_584,Cumberland
nc_585,Cumberland
nc_587,Cumberland
nc_590,Cumberland
nc_592,Cumberland
nc_594,Cumberland
nc_596,Cumberland
nc_597,Cumberland
nc_598,Cumberland
nc_599,Cumberland
nc_600,Cumberland
nc_603,Cumberland
nc_604,Cumberland
nc_605,Cumberland
nc_607,Cumberland
nc_609,Cumberland
nc_610,Cumberland
nc_611,Cumberland
nc_612,Cumberland
nc_613,Cumberland
nc_614,Cumberland
nc_615,Cumberland
nc_617,Currituck
nc_618,Currituck
nc_620,Currituck
nc_621,Currituck
nc_622,Currituck
nc_623,Currituck
nc_626,Dare
nc_627,Dare
nc_629,Dare
nc_630,Dare
nc_631,Dare
nc_633,Davidson
nc_635,Davidson
nc_636,Davidson
nc_637,Davidson
nc_638,Davidson
nc_639,Davidson
nc_640,Davidson
nc_641,Davidson
nc_642,Davidson
nc_643,Davidson
nc_645,Davidson
nc_646,Davidson
nc_648,Davidson
nc_650,Davidson
nc_651,Davidson
nc_652,Davidson
nc_653,Davidson
nc_656,Davidson
nc_657,Davidson
nc_658,Davidson
nc_661,Davidson
nc_662,Davidson
nc_663,Davidson
nc_665,Davidson
nc_666,Davidson
nc_667,Davie
nc_668,Davie
nc_669,Davie
nc_670,Davie
nc_671,Davie
nc_673,Davie
nc_674,Duplin
nc_675,Duplin
nc_676,Duplin
nc_677,Duplin
nc_678,Duplin
nc_680,Duplin
nc_682,Duplin
nc_683,Duplin
nc_685,Durham
nc_686,Durham
nc_687,Durham
nc_688,Durham
nc_689,Durham
nc_690,Durham
nc_691,Durham
nc_692,Durham
nc_693,Durham
nc_696,Durham
nc_697,Durham
nc_698,Durham
nc_699,Durham
nc_700,Durham
nc_701,Durham
nc_703,Durham
nc_704,Durham
nc_706,Durham
nc_710,Durham
nc_711,Durham
nc_713,Durham
nc_714,Durham
nc_715,Durham
nc_718,Durham
nc_719,Durham
nc_721,Durham
nc_723,Durham
nc_725,Durham
nc_727,Durham
nc_731,Durham
nc_732,Durham
nc_733,Durham
nc_735,Durham
nc_736,Durham
nc_737,Durham
nc_739,Durham
nc_741,Durham
nc_742,Durham
nc_745,Durham
nc_746,Durham
nc_747,Durham
nc_749,Durham
nc_750,Durham
nc_752,Durham
nc_754,Durham
nc_755,Durham
nc_758,Durham
nc_761,Durham
nc_762,Durham
nc_764,Durham
nc_765,Durham
nc_766,Durham
nc_767,Edgecombe
nc_768,Edgecombe
nc_769,Edgecombe
nc_770,Edgecombe
nc_771,Edgecombe
nc_772,Edgecombe
nc_773,Edgecombe
nc_774,Edgecombe
nc_775,Forsyth
nc_776,Forsyth
nc_778,Forsyth
nc_779,Forsyth
nc_780,Forsyth
nc_782,Forsyth
nc_783,Forsyth
nc_784,Forsyth
nc_787,Forsyth
nc_789,Forsyth
nc_790,Forsyth
nc_791,Forsyth
nc_793,Forsyth
nc_794,Forsyth
nc_795,Forsyth
nc_796,Forsyth
nc_797,Forsyth
nc_798,Forsyth
nc_799,Forsyth
nc_800,Forsyth
nc_801,Forsyth
nc_804,Forsyth
nc_805,Forsyth
nc_806,Forsyth
nc_807,Forsyth
nc_809,Forsyth
nc_810,Forsyth
nc_811,Forsyth
nc_813,Forsyth
nc_815,Forsyth
nc_816,Forsyth
nc_817,Forsyth
nc_818,Forsyth
nc_819,Forsyth
nc_820,Forsyth
nc_821,Forsyth
nc_822,Forsyth
nc_823,Forsyth
nc_825,Forsyth
nc_826,Forsyth
nc_827,Forsyth
nc_829,Forsyth
nc_831,Forsyth
nc_832,Forsyth
nc_833,Forsyth
nc_834,Forsyth
nc_835,Forsyth
nc_837,Forsyth
nc_838,Forsyth
nc_839,Forsyth
nc_840,Forsyth
nc_841,Forsyth
nc_843,Forsyth
nc_844,Forsyth
nc_845,Forsyth
nc_846,Forsyth
nc_848,Forsyth
nc_849,Forsyth
nc_850,Forsyth
nc_851,Forsyth
nc_852,Forsyth
nc_854,Franklin
nc_858,Franklin
nc_859,Franklin
nc_860,Franklin
nc_861,Franklin
nc_862,Franklin
nc_863,Franklin
nc_867,Franklin
nc_869,Gaston
nc_870,Gaston
nc_871,Gaston
nc_872,Gaston
nc_873,Gaston
nc_874,Gaston
nc_876,Gaston
nc_877,Gaston
nc_878,Gaston
nc_879,Gaston
nc_880,Gaston
nc_882,Gaston
nc_883,Gaston
nc_885,Gaston
nc_887,Gaston
nc_889,Gaston
nc_890,Gaston
nc_891,Gaston
nc_893,Gaston
nc_894,Gaston
nc_895,Gaston
nc_896,Gaston
nc_897,Gaston
nc_898,Gaston
nc_899,Gaston
nc_900,Gaston
nc_901,Gaston
nc_903,Gaston
nc_905,Gaston
nc_906,Gaston
nc_907,Gaston
nc_910,Gaston
nc_912,Gaston
nc_913,Gates
nc_914,Gates
nc_915,Gates
nc_916,Graham
nc_918,Granville
nc_919,Granville
nc_922,Granville
nc_925,Granville
nc_926,Granville
nc_928,Granville
nc_929,Granville
nc_930,Granville
nc_931,Granville
nc_935,Greene
nc_936,Guilford
nc_937,Guilford
nc_938,Guilford
nc_942,Guilford
nc_943,Guilford
nc_944,Guilford
nc_945,Guilford
nc_947,Guilford
nc_948,Guilford
nc_949,Guilford
nc_951,Guilford
nc_952,Guilford
nc_954,Guilford
nc_955,Guilford
nc_956,Guilford
nc_957,Guilford
nc_958,Guilford
nc_960,Guilford
nc_961,Guilford
nc_962,Guilford
nc_963,Guilford
nc_964,Guilford
nc_965,Guilford
nc_966,Guilford
nc_968,Guilford
nc_970,Guilford
nc_971,Guilford
nc_974,Guilford
nc_975,Guilford
nc_977,Guilford
nc_978,Guilford
nc_979,Guilford
nc_980,Guilford
nc_986,Guilford
nc_989,Guilford
nc_991,Guilford
nc_993,Guilford
nc_994,Guilford
nc_995,Guilford
nc_996,Guilford
nc_999,Guilford
nc_1000,Guilford
nc_1003,Guilford
nc_1004,Guilford
nc_1006,Guilford
nc_1007,Guilford
nc_1008,Guilford
nc_1009,Guilford
nc_1012,Guilford
nc_1013,Guilford
nc_1014,Guilford
nc_1015,Guilford
nc_1016,Guilford
nc_1017,Guilford
nc_1018,Guilford
nc_1019,Guilford
nc_1021,Guilford
nc_1023,Guilford
nc_1025,Guilford
nc_1026,Guilford
nc_1029,Guilford
nc_1030,Guilford
nc_1031,Guilford
nc_1032,Guilford
nc_1033,Guilford
nc_1035,Guilford
nc_1036,Guilford
nc_1038,Guilford
nc_1039,Guilford
nc_1040,Guilford
nc_1041,Guilford
nc_1042,Guilford
nc_1043,Guilford
nc_1044,Guilford
nc_1048,Guilford
nc_1049,Guilford
nc_1050,Guilford
nc_1051,Guilford
nc_1052,Guilford
nc_1053,Guilford
nc_1054,Guilford
nc_1055,Guilford
nc_1056,Guilford
nc_1058,Halifax
nc_1059,Halifax
nc_1060,Halifax
nc_1062,Halifax
nc_1064,Halifax
nc_1065,Halifax
nc_1066,Halifax
nc_1068,Halifax
nc_1070,Halifax
nc_1071,Halifax
nc_1072,Halifax
nc_1073,Halifax
nc_1074,Harnett
nc_1075,Harnett
nc_1077,Harnett
nc_1078,Harnett
nc_1079,Harnett
nc_1081,Harnett
nc_1082,Harnett
nc_1083,Harnett
nc_1085,Harnett
nc_1086,Harnett
nc_1087,Harnett
nc_1091,Harnett
nc_1093,Harnett
nc_1094,Harnett
nc_1096,Harnett
nc_1097,Harnett
nc_1099,Harnett
nc_1100,Haywood
nc_1101,Haywood
nc_1103,Haywood
nc_1104,Haywood
nc_1105,Haywood
nc_1106,Haywood
nc_1107,Haywood
nc_1108,Haywood
nc_1109,Haywood
nc_1111,Haywood
nc_1114,Henderson
nc_1115,Henderson
nc_1116,Henderson
nc_1117,Henderson
nc_1118,Henderson
nc_1119,Henderson
nc_1120,Henderson
nc_1122,Henderson
nc_1123,Henderson
nc_1124,Henderson
nc_1125,Henderson
nc_1127,Henderson
nc_1130,Henderson
nc_1136,Henderson
nc_1137,Henderson
nc_1138,Henderson
nc_1140,Henderson
nc_1143,Hertford
nc_1144,Hertford
nc_1147,Hertford
nc_1151,Hoke
nc_1152,Hoke
nc_1153,Hoke
nc_1155,Hoke
nc_1156,Hoke
nc_1157,Hoke
nc_1158,Hoke
nc_1159,Hoke
nc_1160,Hyde
nc_1161,Hyde
nc_1162,Iredell
nc_1165,Iredell
nc_1166,Iredell
nc_1167,Iredell
nc_1168,Iredell
nc_1169,Iredell
nc_1170,Iredell
nc_1174,Iredell
nc_1176,Iredell
nc_1180,Iredell
nc_1181,Iredell
nc_1182,Iredell
nc_1183,Iredell
nc_1184,Iredell
nc_1186,Iredell
nc_1189,Iredell
nc_1190,Iredell
nc_1193,Iredell
nc_1194,Iredell
nc_1195,Iredell
nc_1196,Iredell
nc_1197,Iredell
nc_1198,Iredell
nc_1199,Iredell
nc_1200,Iredell
nc_1202,Iredell
nc_1203,Iredell
nc_1204,Iredell
nc_1205,Iredell
nc_1206,Iredell
nc_1207,Jackson
nc_1208,Jackson
nc_1209,Jackson
nc_1212,Jackson
nc_1213,Jackson
nc_1214,Jackson
nc_1217,Johnston
nc_1218,Johnston
nc_1219,Johnston
nc_1220,Johnston
nc_1221,Johnston
nc_1222,Johnston
nc_1223,Johnston
nc_1224,Johnston
nc_1226,Johnston
nc_1228,Johnston
nc_1229,Johnston
nc_1230,Johnston
nc_1231,Johnston
nc_1234,Johnston
nc_1235,Johnston
nc_1236,Johnston
nc_1237,Johnston
nc_1238,Johnston
nc_1239,Johnston
nc_1240,Johnston
nc_1241,Johnston
nc_1242,Johnston
nc_1243,Johnston
nc_1248,Johnston
nc_1249,Johnston
nc_1250,Johnston
nc_1251,Johnston
nc_1252,Jones
nc_1253,Jones
nc_1254,Jones
nc_1255,Jones
nc_1256,Lee
nc_1257,Lee
nc_1260,Lee
nc_1262,Lee
nc_1263,Lee
nc_1264,Lee
nc_1265,Lee
nc_1266,Lee
nc_1267,Lee
nc_1268,Lee
nc_1269,Lee
nc_1271,Lenoir
nc_1272,Lenoir
nc_1273,Lenoir
nc_1275,Lenoir
nc_1277,Lenoir
nc_1278,Lenoir
nc_1281,Lenoir
nc_1282,Lenoir
nc_1283,Lenoir
nc_1284,Lenoir
nc_1285,Lenoir
nc_1286,Lenoir
nc_1287,Lincoln
nc_1288,Lincoln
nc_1289,Lincoln
nc_1290,Lincoln
nc_1291,Lincoln
nc_1292,Lincoln
nc_1294,Lincoln
nc_1296,Lincoln
nc_1297,Lincoln
nc_1298,Lincoln
nc_1300,Lincoln
nc_1301,Lincoln
nc_1302,Lincoln
nc_1303,Lincoln
nc_1304,Lincoln
nc_1305,Lincoln
nc_1306,Macon
nc_1307,Macon
nc_1308,Macon
nc_1309,Macon
nc_1311,Macon
nc_1313,Madison
nc_1314,Madison
nc_1316,Madison
nc_1317,Madison
nc_1318,Martin
nc_1320,Martin
nc_1321,Martin
nc_1322,Martin
nc_1323,McDowell
nc_1324,McDowell
nc_1326,McDowell
nc_1329,McDowell
nc_1330,McDowell
nc_1331,McDowell
nc_1333,McDowell
nc_1334,McDowell
nc_1337,Mecklenburg
nc_1338,Mecklenburg
nc_1339,Mecklenburg
nc_1340,Mecklenburg
nc_1342,Mecklenburg
nc_1343,Mecklenburg
nc_1344,Mecklenburg
nc_1346,Mecklenburg
nc_1347,Mecklenburg
nc_1351,Mecklenburg
nc_1352,Mecklenburg
nc_1353,Mecklenburg
nc_1355,Mecklenburg
nc_1357,Mecklenburg
nc_1358,Mecklenburg
nc_1360,Mecklenburg
nc_1361,Mecklenburg
nc_1364,Mecklenburg
nc_1366,Mecklenburg
nc_1368,Mecklenburg
nc_1369,Mecklenburg
nc_1371,Mecklenburg
nc_1372,Mecklenburg
nc_1373,Mecklenburg
nc_1374,Mecklenburg
nc_1375,Mecklenburg
nc_1381,Mecklenburg
nc_1383,Mecklenburg
nc_1384,Mecklenburg
nc_1385,Mecklenburg
nc_1387,Mecklenburg
nc_1391,Mecklenburg
nc_1393,Mecklenburg
nc_1394,Mecklenburg
nc_1397,Mecklenburg
nc_1398,Mecklenburg
nc_1399,Mecklenburg
nc_1403,Mecklenburg
nc_1404,Mecklenburg
nc_1407,Mecklenburg
nc_1408,Mecklenburg
nc_1411,Mecklenburg
nc_1418,Mecklenburg
nc_1419,Mecklenburg
nc_1425,Mecklenburg
nc_1426,Mecklenburg
nc_1427,Mecklenburg
nc_1429,Mecklenburg
nc_1430,Mecklenburg
nc_1432,Mecklenburg
nc_1433,Mecklenburg
nc_1437,Mecklenburg
nc_1440,Mecklenburg
nc_1441,Mecklenburg
nc_1442,Mecklenburg
nc_1449,Mecklenburg
nc_1450,Mecklenburg
nc_1451,Mecklenburg
nc_1452,Mecklenburg
nc_1453,Mecklenburg
nc_1455,Mecklenburg
nc_1458,Mecklenburg
nc_1460,Mecklenburg
nc_1461,Mecklenburg
nc_1462,Mecklenburg
nc_1463,Mecklenburg
nc_1464,Mecklenburg
nc_1465,Mecklenburg
nc_1466,Mecklenburg
nc_1471,Mecklenburg
nc_1473,Mecklenburg
nc_1475,Mecklenburg
nc_1476,Mecklenburg
nc_1481,Mecklenburg
nc_1485,Caldwell
nc_1486,Mecklenburg
nc_1487,Mecklenburg
nc_1490,Mecklenburg
nc_1491,Mecklenburg
nc_1492,Mecklenburg
nc_1494,Mecklenburg
nc_1496,Mecklenburg
nc_1497,Mecklenburg
nc_1498,Mecklenburg
nc_1499,Mecklenburg
nc_1500,Mecklenburg
nc_1502,Mecklenburg
nc_1504,Mecklenburg
nc_1507,Mecklenburg
nc_1508,Mecklenburg
nc_1510,Mecklenburg
nc_1511,Mecklenburg
nc_1512,Mecklenburg
nc_1513,Mecklenburg
nc_1517,Mecklenburg
nc_1518,Mecklenburg
nc_1519,Mecklenburg
nc_1520,Mecklenburg
nc_1524,Mecklenburg
nc_1525,Mecklenburg
nc_1527,Mecklenburg
nc_1529,Mecklenburg
nc_1530,Mecklenburg
nc_1534,Mecklenburg
nc_1535,Mecklenburg
nc_1536,Mecklenburg
nc_1537,Mecklenburg
nc_1538,Mecklenburg
