obs_id,positive,sample_n
1,16,17
2,5,6
3,21,22
4,16,17
5,18,19
6,9,10
7,5,5
8,5,5
9,13,14
10,12,12
11,10,10
12,13,14
13,15,15
14,20,21
15,6,6
16,12,13
17,15,16
18,12,13
19,16,18
20,13,14
21,18,19
22,11,11
23,9,9
24,14,14
25,12,12
26,18,19
27,15,15
28,9,9
29,6,6
30,12,12
31,7,7
32,10,10
33,5,5
34,6,6
35,6,6
36,7,7
37,8,8
38,5,5
39,10,10
40,5,5
41,8,8
42,5,5
43,15,16
44,12,13
45,13,13
46,12,12
47,5,5
48,7,7
49,6,6
50,2,2
51,7,7
52,3,3
53,4,4
54,10,10
55,16,16
56,35,37
57,7,8
58,3,3
59,4,4
60,2,2
61,8,8
62,3,3
63,4,4
64,5,5
65,13,14
66,9,9
67,2,2
68,6,6
69,16,17
70,10,10
71,3,3
72,25,26
73,13,14
74,21,22
75,16,16
76,10,10
77,20,21
78,6,7
79,3,4
80,11,12
81,16,16
82,21,22
83,17,19
84,15,16
85,8,8
86,1,3
87,5,6
88,7,9
89,2,2
90,20,21
91,5,5
92,6,6
93,15,16
94,1,2
95,14,15
96,6,6
97,11,12
98,10,10
99,3,3
100,24,26
101,6,7
102,16,17
103,17,18
104,9,9
105,10,11
106,15,16
107,17,18
108,10,11
109,10,11
110,7,7
111,2,2
112,15,16
113,8,8
114,21,22
115,16,17
116,2,3
117,7,7
118,2,3
119,4,4
120,19,20
121,3,5
122,14,15
123,17,18
124,18,20
125,4,4
126,5,6
127,13,13
128,8,8
129,10,10
130,9,9
131,8,8
132,8,8
133,7,7
134,20,22
135,7,7
136,11,11
137,10,10
138,11,11
139,12,13
140,14,14
141,9,9
142,19,20
143,7,8
144,16,17
145,2,2
146,9,9
147,21,22
148,10,12
149,24,25
150,10,10
151,22,26
152,31,32
153,13,14
154,14,14
155,15,16
156,3,4
157,20,21
158,27,28
159,15,16
160,18,19
161,25,26
162,21,22
163,20,22
164,21,22
165,13,14
166,11,11
167,19,20
168,48,50
169,25,26
170,18,19
171,15,16
172,11,11
173,6,6
174,14,14
175,13,13
176,16,16
177,20,21
178,4,4
179,20,21
180,4,4
181,13,13
182,10,10
183,9,10
184,9,9
185,22,23
186,3,3
187,10,10
188,12,12
189,2,2
190,5,5
191,4,4
192,21,22
193,20,20
194,3,3
