obs_id,loc_id,cohort,age,dose,weight
1,nc_101,6,5,2,1
2,nc_102,6,5,2,1
3,nc_103,6,5,2,1
4,nc_105,6,5,2,1
5,nc_106,6,5,2,1
6,nc_107,6,5,2,1
7,nc_109,6,5,2,1
8,nc_110,6,5,2,1
9,nc_111,6,5,2,1
10,nc_113,6,5,2,1
11,nc_114,6,5,2,1
12,nc_115,6,5,2,1
13,nc_116,6,5,2,1
14,nc_117,6,5,2,1
15,nc_119,6,5,2,1
16,nc_120,6,5,2,1
17,nc_121,6,5,2,1
18,nc_122,6,5,2,1
19,nc_123,6,5,2,1
20,nc_124,6,5,2,1
21,nc_125,6,5,2,1
22,nc_126,6,5,2,1
23,nc_127,6,5,2,1
24,nc_129,6,5,2,1
25,nc_130,6,5,2,1
26,nc_131,6,5,2,1
27,nc_132,6,5,2,1
28,nc_133,6,5,2,1
29,nc_134,6,5,2,1
30,nc_138,6,5,2,1
31,nc_139,6,5,2,1
32,nc_140,6,5,2,1
33,nc_141,6,5,2,1
34,nc_142,6,5,2,1
35,nc_143,6,5,2,1
36,nc_144,6,5,2,1
37,nc_145,6,5,2,1
38,nc_148,6,5,2,1
39,nc_150,6,5,2,1
40,nc_151,6,5,2,1
41,nc_154,6,5,2,1
42,nc_155,6,5,2,1
43,nc_156,6,5,2,1
44,nc_157,6,5,2,1
45,nc_159,6,5,2,1
46,nc_160,6,5,2,1
47,nc_161,6,5,2,1
48,nc_163,6,5,2,1
49,nc_164,6,5,2,1
50,nc_166,6,5,2,1
51,nc_167,6,5,2,1
52,nc_168,6,5,2,1
53,nc_169,6,5,2,1
54,nc_170,6,5,2,1
55,nc_171,6,5,2,1
56,nc_172,6,5,2,1
57,nc_174,6,5,2,1
58,nc_175,6,5,2,1
59,nc_176,6,5,2,1
60,nc_177,6,5,2,1
61,nc_178,6,5,2,1
62,nc_180,6,5,2,1
63,nc_183,6,5,2,1
64,nc_188,6,5,2,1
65,nc_189,6,5,2,1
66,nc_192,6,5,2,1
67,nc_193,6,5,2,1
68,nc_194,6,5,2,1
69,nc_195,6,5,2,1
70,nc_196,6,5,2,1
71,nc_200,6,5,2,1
72,nc_201,6,5,2,1
73,nc_202,6,5,2,1
74,nc_203,6,5,2,1
75,nc_204,6,5,2,1
76,nc_205,6,5,2,1
77,nc_208,6,5,2,1
78,nc_209,6,5,2,1
79,nc_210,6,5,2,1
80,nc_211,6,5,2,1
81,nc_212,6,5,2,1
82,nc_213,6,5,2,1
83,nc_214,6,5,2,1
84,nc_215,6,5,2,1
85,nc_216,6,5,2,1
86,nc_219,6,5,2,1
87,nc_220,6,5,2,1
88,nc_222,6,5,2,1
89,nc_223,6,5,2,1
90,nc_227,6,5,2,1
91,nc_229,6,5,2,1
92,nc_230,6,5,2,1
93,nc_232,6,5,2,1
94,nc_234,6,5,2,1
95,nc_235,6,5,2,1
96,nc_236,6,5,2,1
97,nc_238,6,5,2,1
98,nc_240,6,5,2,1
99,nc_241,6,5,2,1
100,nc_242,6,5,2,1
101,nc_243,6,5,2,1
102,nc_244,6,5,2,1
103,nc_247,6,5,2,1
104,nc_248,6,5,2,1
105,nc_249,6,5,2,1
106,nc_251,6,5,2,1
107,nc_252,6,5,2,1
108,nc_253,6,5,2,1
109,nc_254,6,5,2,1
110,nc_255,6,5,2,1
111,nc_256,6,5,2,1
112,nc_257,6,5,2,1
113,nc_258,6,5,2,1
114,nc_262,6,5,2,1
115,nc_263,6,5,2,1
116,nc_264,6,5,2,1
117,nc_265,6,5,2,1
118,nc_266,6,5,2,1
119,nc_267,6,5,2,1
120,nc_268,6,5,2,1
121,nc_269,6,5,2,1
122,nc_271,6,5,2,1
123,nc_272,6,5,2,1
124,nc_273,6,5,2,1
125,nc_274,6,5,2,1
126,nc_277,6,5,2,1
127,nc_278,6,5,2,1
128,nc_279,6,5,2,1
129,nc_280,6,5,2,1
130,nc_281,6,5,2,1
131,nc_282,6,5,2,1
132,nc_283,6,5,2,1
133,nc_284,6,5,2,1
134,nc_286,6,5,2,1
135,nc_287,6,5,2,1
136,nc_289,6,5,2,1
137,nc_291,6,5,2,1
138,nc_292,6,5,2,1
